Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,West,West,(Fri) 14 Jul 2000 (W28),San Jose Earthquakes (22),1-2,?,Colorado Rapids (22),,
Regular,?,,West,East,(Fri) 14 Jul 2000 (W28),LA Galaxy (23),1-2,?,D.C. United (24),,
Regular,?,,East,Central,(Fri) 14 Jul 2000 (W28),Miami Fusion (21),0-3,?,FC Dallas (23),,
Regular,?,,East,East,(Fri) 14 Jul 2000 (W28),New England Revolution (21),0-2,?,New York Red Bulls (21),,
Regular,?,,Central,East,(Tue) 18 Jul 2000 (W29),FC Dallas (24),1-1,?,Miami Fusion (22),,
Regular,?,,West,East,(Tue) 18 Jul 2000 (W29),Sporting Kansas City (21),0-1,?,New England Revolution (22),,
Regular,?,,West,Central,(Thu) 20 Jul 2000 (W29),Colorado Rapids (23),1-1,?,Chicago Fire (23),,
Regular,?,,West,East,(Fri) 21 Jul 2000 (W29),San Jose Earthquakes (23),1-2,?,New England Revolution (23),,
Regular,?,,Central,West,(Fri) 21 Jul 2000 (W29),Tampa Bay Mutiny (23),2-0,?,LA Galaxy (24),,
Regular,?,,East,East,(Fri) 21 Jul 2000 (W29),New York Red Bulls (22),4-2,?,Miami Fusion (23),,
Regular,?,,West,Central,(Fri) 21 Jul 2000 (W29),Sporting Kansas City (22),3-1,?,Columbus Crew SC (24),,
Regular,?,,East,East,(Tue) 1 Aug 2000 (W31),D.C. United (25),3-2,?,New York Red Bulls (23),,
Regular,?,,West,Central,(Tue) 1 Aug 2000 (W31),San Jose Earthquakes (24),1-2,?,Columbus Crew SC (25),,
Regular,?,,Central,Central,(Tue) 1 Aug 2000 (W31),Tampa Bay Mutiny (24),0-1,?,Chicago Fire (24),,
Regular,?,,East,Central,(Tue) 1 Aug 2000 (W31),New England Revolution (24),1-2,?,FC Dallas (25),,
Regular,?,,West,West,(Tue) 1 Aug 2000 (W31),Sporting Kansas City (23),3-1,?,Colorado Rapids (24),,
Regular,?,,West,West,(Fri) 4 Aug 2000 (W31),Colorado Rapids (25),2-0,?,San Jose Earthquakes (25),,
Regular,?,,East,East,(Fri) 4 Aug 2000 (W31),D.C. United (26),1-3,?,Miami Fusion (24),,
Regular,?,,East,Central,(Fri) 4 Aug 2000 (W31),New England Revolution (25),1-1,?,Columbus Crew SC (26),,
Regular,?,,West,West,(Fri) 4 Aug 2000 (W31),Sporting Kansas City (24),1-5,?,LA Galaxy (25),,
Regular,?,,Central,East,(Sat) 5 Aug 2000 (W31),Chicago Fire (25),3-1,?,New York Red Bulls (24),,
Regular,?,,Central,Central,(Sat) 5 Aug 2000 (W31),Tampa Bay Mutiny (25),2-1,?,FC Dallas (26),,
Regular,?,,Central,East,(Fri) 11 Aug 2000 (W32),FC Dallas (27),1-0,?,D.C. United (27),,
Regular,?,,West,Central,(Fri) 11 Aug 2000 (W32),San Jose Earthquakes (26),1-2,?,Tampa Bay Mutiny (26),,
Regular,?,,West,West,(Fri) 11 Aug 2000 (W32),LA Galaxy (26),1-1,?,Sporting Kansas City (25),,
Regular,?,,East,West,(Fri) 11 Aug 2000 (W32),Miami Fusion (25),4-1,?,Colorado Rapids (26),,
Regular,?,,East,East,(Fri) 11 Aug 2000 (W32),New York Red Bulls (25),2-1,?,New England Revolution (26),,
Regular,?,,Central,East,(Tue) 15 Aug 2000 (W33),Columbus Crew SC (27),2-0,?,Miami Fusion (26),,
Regular,?,,Central,Central,(Tue) 15 Aug 2000 (W33),FC Dallas (28),3-0,?,Chicago Fire (26),,
Regular,?,,West,West,(Tue) 15 Aug 2000 (W33),San Jose Earthquakes (27),0-3,?,Sporting Kansas City (26),,
Regular,?,,West,West,(Tue) 15 Aug 2000 (W33),LA Galaxy (27),1-0,?,Colorado Rapids (27),,
Regular,?,,Central,East,(Tue) 15 Aug 2000 (W33),Tampa Bay Mutiny (27),4-3,?,New York Red Bulls (26),,
Regular,?,,Central,West,(Fri) 18 Aug 2000 (W33),Chicago Fire (27),2-1,?,LA Galaxy (28),,
Regular,?,,East,West,(Fri) 18 Aug 2000 (W33),D.C. United (28),0-1,?,San Jose Earthquakes (28),,
Regular,?,,East,Central,(Fri) 18 Aug 2000 (W33),New England Revolution (27),2-1,?,Tampa Bay Mutiny (28),,
Regular,?,,East,West,(Sat) 19 Aug 2000 (W33),New York Red Bulls (27),5-3,?,Colorado Rapids (28),,
Regular,?,,West,East,(Sat) 19 Aug 2000 (W33),Sporting Kansas City (27),1-2,?,Miami Fusion (27),,
Regular,?,,East,West,(Tue) 22 Aug 2000 (W34),New York Red Bulls (28),0-0,?,Sporting Kansas City (28),,
Regular,?,,West,West,(Fri) 25 Aug 2000 (W34),Colorado Rapids (29),1-1,?,Sporting Kansas City (29),,
Regular,?,,East,East,(Fri) 25 Aug 2000 (W34),D.C. United (29),2-1,?,Miami Fusion (28),,
Regular,?,,Central,East,(Fri) 25 Aug 2000 (W34),FC Dallas (29),4-6,?,New York Red Bulls (29),,
Regular,?,,West,West,(Fri) 25 Aug 2000 (W34),San Jose Earthquakes (29),0-3,?,LA Galaxy (29),,
Regular,?,,Central,Central,(Fri) 25 Aug 2000 (W34),Tampa Bay Mutiny (29),3-3,?,Chicago Fire (28),,
Regular,?,,East,Central,(Fri) 25 Aug 2000 (W34),New England Revolution (28),2-1,?,Columbus Crew SC (28),,
Regular,?,,Central,Central,(Tue) 29 Aug 2000 (W35),Chicago Fire (29),4-0,?,FC Dallas (30),,
Regular,?,,West,East,(Tue) 29 Aug 2000 (W35),Colorado Rapids (30),3-1,?,Miami Fusion (29),,
Regular,?,,Central,Central,(Tue) 29 Aug 2000 (W35),Columbus Crew SC (29),3-4,?,Tampa Bay Mutiny (30),,
Regular,?,,West,West,(Tue) 29 Aug 2000 (W35),LA Galaxy (30),2-1,?,San Jose Earthquakes (30),,
Regular,?,,East,East,(Tue) 29 Aug 2000 (W35),New England Revolution (29),1-0,?,D.C. United (30),,
Regular,?,,West,Central,(Fri) 1 Sep 2000 (W35),San Jose Earthquakes (31),3-0,?,Columbus Crew SC (30),,
Regular,?,,East,East,(Fri) 1 Sep 2000 (W35),Miami Fusion (30),4-1,?,New York Red Bulls (30),,
Regular,?,,West,Central,(Fri) 1 Sep 2000 (W35),Sporting Kansas City (30),1-0,?,Tampa Bay Mutiny (31),,
Regular,?,,Central,West,(Sat) 2 Sep 2000 (W35),Chicago Fire (30),2-1,?,Colorado Rapids (31),,
Regular,?,,East,East,(Sat) 2 Sep 2000 (W35),D.C. United (31),2-0,?,New England Revolution (30),,
Regular,?,,East,East,(Mon) 4 Sep 2000 (W36),New York Red Bulls (31),2-1,?,Miami Fusion (31),,
Regular,?,,Central,Central,(Tue) 5 Sep 2000 (W36),Chicago Fire (31),3-1,?,Columbus Crew SC (31),,
Regular,?,,West,Central,(Tue) 5 Sep 2000 (W36),LA Galaxy (31),0-1,?,FC Dallas (31),,
Regular,?,,East,West,(Tue) 5 Sep 2000 (W36),New England Revolution (31),0-1,?,Sporting Kansas City (31),,
Regular,?,,West,West,(Thu) 7 Sep 2000 (W36),Colorado Rapids (32),1-0,?,LA Galaxy (32),,
Regular,?,,Central,Central,(Fri) 8 Sep 2000 (W36),Columbus Crew SC (32),2-3,?,Chicago Fire (32),,
Regular,?,,East,East,(Fri) 8 Sep 2000 (W36),D.C. United (32),2-6,?,Miami Fusion (32),,
Regular,?,,Central,West,(Fri) 8 Sep 2000 (W36),FC Dallas (32),2-1,?,San Jose Earthquakes (32),,
Regular,?,,Central,West,(Fri) 8 Sep 2000 (W36),Tampa Bay Mutiny (32),2-2,?,Sporting Kansas City (32),,
Regular,?,,East,East,(Fri) 8 Sep 2000 (W36),New England Revolution (32),4-3,?,New York Red Bulls (32),,
Playoff,Conf. Semifinals,1,Central,West,(Wed) 13 Sep 2000 (W37),Tampa Bay Mutiny (33),0-1,?,LA Galaxy (33),,
Playoff,Conf. Semifinals,1,Central,East,(Thu) 14 Sep 2000 (W37),Chicago Fire (33),2-1,?,New England Revolution (33),,
Playoff,Conf. Semifinals,1,East,Central,(Thu) 14 Sep 2000 (W37),New York Red Bulls (33),1-1,?,FC Dallas (33),2-1 (a.e.t.),
Playoff,Conf. Semifinals,1,West,West,(Fri) 15 Sep 2000 (W37),Sporting Kansas City (33),1-0,?,Colorado Rapids (33),,
Playoff,Conf. Semifinals,2,East,Central,(Mon) 18 Sep 2000 (W38),New England Revolution (34),2-1,?,Chicago Fire (34),,
Playoff,Conf. Semifinals,2,West,West,(Tue) 19 Sep 2000 (W38),Colorado Rapids (34),0-0,?,Sporting Kansas City (34),,
Playoff,Conf. Semifinals,2,Central,East,(Tue) 19 Sep 2000 (W38),FC Dallas (34),1-2,?,New York Red Bulls (34),,
